 Team , Pass Yards , Rush Yards , Off. TDs , Def. TDs , Safeties , INTs , FF , FR , Fumbles, Pass Yards Against , Rush Yards Against , Off. TDs Against , Def. TDs Against , Safeties Against ," INTs Against
"
Eastern Michigan,2196,1134,30,2,0,10,1,1,1,1686,1184,24,1,0,"5
"
Texas A&M,4149,467,29,2,1,6,0,0,0,2588,1259,36,0,0,"5
"
North Texas,2574,978,27,1,0,5,0,0,0,2604,1255,35,3,0,"4
"
Nevada,1565,1672,26,1,1,5,2,2,1,2449,1118,24,1,0,"2
"
Boise State,1802,2140,41,2,0,9,0,0,0,2157,1134,22,1,0,"2
"
USF,4003,848,44,2,0,7,1,1,0,2204,1324,28,2,1,"8
"
North Carolina State,887,1961,26,0,0,1,1,1,0,3073,1386,46,4,0,"15
"
USC,3030,787,24,2,0,10,0,0,0,2423,1274,29,0,1,"10
"
Utah,2695,1483,25,0,0,10,0,0,1,2563,1245,24,0,0,"4
"
Virginia,2983,756,26,1,0,7,0,0,0,2342,1210,30,3,0,"10
"
Arizona State,2095,1642,37,0,0,7,0,0,0,2815,1012,25,0,0,"2
"
UCF,2107,1662,32,2,0,7,0,0,1,2555,1158,29,1,0,"5
"
South Carolina,3186,419,18,2,0,5,2,2,0,2519,1420,32,4,0,"8
"
Purdue,3137,981,31,4,0,9,1,1,0,1823,1411,21,2,0,"6
"
Hawaii,3179,717,39,0,2,2,0,0,0,2444,924,34,1,1,"6
"
Kentucky,3322,1198,39,4,1,13,0,0,0,2756,972,22,1,0,"10
"
Penn State,3342,1123,38,3,0,10,2,2,0,2190,1142,24,2,0,"4
"
Nebraska,2676,1512,36,2,1,11,0,0,1,2554,1210,23,0,0,"5
"
Wisconsin,2509,1532,34,0,0,9,0,0,1,2510,1032,28,0,1,"3
"
Alabama,1280,1407,17,2,0,9,0,0,0,2804,917,22,1,0,"6
"
Houston,3631,1291,40,1,0,10,0,0,0,2114,1112,21,0,0,"4
"
Fresno State,3783,494,35,1,0,9,0,0,0,2849,938,28,4,0,"5
"
Western Michigan,814,1861,36,1,0,5,0,0,2,2413,1272,30,0,0,"2
"
Kansas State,1667,1435,34,0,0,2,1,1,0,2138,1383,34,2,0,"5
"
Tennessee,1932,1628,34,2,0,10,3,3,1,2508,947,20,1,1,"8
"
Texas Tech,2768,1093,26,0,0,1,1,1,0,2531,1342,29,2,0,"12
"
